,num_vars,names,bounds,sample_scaled
449,1560,EX_pheleuasp_e,"[-10, 0]",True
450,1560,EX_pheleuhis_e,"[-10, 0]",True
451,1560,EX_trplys_e,"[-10, 0]",True
452,1560,EX_trpmetval_e,"[-10, 0]",True
453,1560,EX_trptyrgln_e,"[-10, 0]",True
454,1560,EX_phelyspro_e,"[-10, 0]",True
455,1560,EX_phephethr_e,"[-10, 0]",True
456,1560,EX_pheproarg_e,"[-10, 0]",True
457,1560,EX_trptyrtyr_e,"[-10, 0]",True
458,1560,EX_phesertrp_e,"[-10, 0]",True
459,1560,EX_tyrargser_e,"[-10, 0]",True
460,1560,EX_argcysgly_e,"[-10, 0]",True
461,1560,EX_tyrcysthr_e,"[-10, 0]",True
462,1560,EX_tyrleuarg_e,"[-10, 0]",True
463,1560,EX_tyrphetyr_e,"[-10, 0]",True
464,1560,EX_tyrthr_e,"[-10, 0]",True
465,1560,EX_tyrtrpphe_e,"[-10, 0]",True
466,1560,EX_tyrtyr_e,"[-10, 0]",True
467,1560,EX_tyrvalmet_e,"[-10, 0]",True
468,1560,EX_valarggly_e,"[-10, 0]",True
469,1560,EX_valhisasn_e,"[-10, 0]",True
470,1560,EX_valphearg_e,"[-10, 0]",True
471,1560,EX_valprotrp_e,"[-10, 0]",True
472,1560,EX_valserarg_e,"[-10, 0]",True
473,1560,EX_phetyrgln_e,"[-10, 0]",True
474,1560,EX_phetyrlys_e,"[-10, 0]",True
475,1560,EX_proargcys_e,"[-10, 0]",True
476,1560,EX_proasncys_e,"[-10, 0]",True
477,1560,EX_proglnpro_e,"[-10, 0]",True
478,1560,EX_prohis_e,"[-10, 0]",True
479,1560,EX_prohistyr_e,"[-10, 0]",True
480,1560,EX_argglupro_e,"[-10, 0]",True
481,1560,EX_argglygly_e,"[-10, 0]",True
482,1560,EX_argphearg_e,"[-10, 0]",True
483,1560,EX_argpromet_e,"[-10, 0]",True
484,1560,EX_argprothr_e,"[-10, 0]",True
485,1560,EX_argtyrval_e,"[-10, 0]",True
486,1560,EX_argvalcys_e,"[-10, 0]",True
487,1560,EX_argvaltrp_e,"[-10, 0]",True
488,1560,EX_asnasnarg_e,"[-10, 0]",True
489,1560,EX_asncyscys_e,"[-10, 0]",True
490,1560,EX_asnpheasp_e,"[-10, 0]",True
491,1560,EX_asnphecys_e,"[-10, 0]",True
492,1560,EX_asntyrthr_e,"[-10, 0]",True
493,1560,EX_aspglu_e,"[-10, 0]",True
494,1560,EX_aspglupro_e,"[-10, 0]",True
495,1560,EX_asphiscys_e,"[-10, 0]",True
496,1560,EX_aspvalasn_e,"[-10, 0]",True
497,1560,EX_cyssermet_e,"[-10, 0]",True
498,1560,EX_cystyrasn_e,"[-10, 0]",True
499,1560,EX_glnasngln_e,"[-10, 0]",True
500,1560,EX_hxa_e,"[-10, 0]",True
501,1560,EX_glnhislys_e,"[-10, 0]",True
502,1560,EX_glnproglu_e,"[-10, 0]",True
503,1560,EX_gluargleu_e,"[-10, 0]",True
504,1560,EX_gluasnleu_e,"[-10, 0]",True
505,1560,EX_gluthrlys_e,"[-10, 0]",True
506,1560,EX_glutrpala_e,"[-10, 0]",True
507,1560,EX_glyhisasn_e,"[-10, 0]",True
508,1560,EX_glylyscys_e,"[-10, 0]",True
509,1560,EX_glylysphe_e,"[-10, 0]",True
510,1560,EX_core4_e,"[-10, 0]",True
511,1560,EX_core5_e,"[-10, 0]",True
512,1560,EX_glyvalhis_e,"[-10, 0]",True
513,1560,EX_dsT_antigen_e,"[-10, 0]",True
514,1560,EX_f1a_e,"[-10, 0]",True
515,1560,EX_galam_e,"[-10, 0]",True
