,S1,S1_conf,ST,ST_conf
54,1.229584733403556e-13,9.122194329004705e-13,1.2335024653028306e-26,7.285832266436328e-26
55,1.229584733403556e-13,9.122194329004705e-13,1.2335024653028306e-26,7.285832266436328e-26
56,1.229584733403556e-13,9.122194329004705e-13,1.2335024653028306e-26,7.285832266436328e-26
57,1.229584733403556e-13,9.122194329004705e-13,1.2335024653028306e-26,7.285832266436328e-26
58,-0.13034183741396335,0.4909682540394983,0.023777524082845863,0.05033486589286938
59,-2.585790526965982e-14,3.452021426354366e-13,8.414055138438237e-27,5.142808710454025e-26
60,1.2182348919203722e-13,1.1613925203235231e-12,1.5699297102116453e-26,1.1596483864980926e-25
61,1.15443614937659e-13,1.1646011818708408e-12,1.513826370229717e-26,1.1629754537499243e-25
62,1.2182348919203722e-13,1.1613925203235231e-12,1.5699297102116453e-26,1.1596483864980926e-25
63,1.2182348919203722e-13,1.1613925203235231e-12,1.5699297102116453e-26,1.1596483864980926e-25
64,1.2182348919203722e-13,1.1613925203235231e-12,1.5699297102116453e-26,1.1596483864980926e-25
65,1.2182348919203722e-13,1.1613925203235231e-12,1.5699297102116453e-26,1.1596483864980926e-25
66,1.2182348919203722e-13,1.1613925203235231e-12,1.5699297102116453e-26,1.1596483864980926e-25
67,1.15443614937659e-13,1.1646011818708408e-12,1.513826370229717e-26,1.1629754537499243e-25
68,1.2182348919203722e-13,1.1613925203235231e-12,1.5699297102116453e-26,1.1596483864980926e-25
69,1.2182348919203722e-13,1.1613925203235231e-12,1.5699297102116453e-26,1.1596483864980926e-25
70,1.2182348919203722e-13,1.1613925203235231e-12,1.5699297102116453e-26,1.1596483864980926e-25
71,1.2182348919203722e-13,1.1613925203235231e-12,1.5699297102116453e-26,1.1596483864980926e-25
72,1.2182348919203722e-13,1.1613925203235231e-12,1.5699297102116453e-26,1.1596483864980926e-25
73,1.2182348919203722e-13,1.1613925203235231e-12,1.5699297102116453e-26,1.1596483864980926e-25
74,1.2182348919203722e-13,1.1613925203235231e-12,1.5699297102116453e-26,1.1596483864980926e-25
75,1.2182348919203722e-13,1.1613925203235231e-12,1.5699297102116453e-26,1.1596483864980926e-25
76,1.2182348919203722e-13,1.1613925203235231e-12,1.5699297102116453e-26,1.1596483864980926e-25
77,1.2182348919203722e-13,1.1613925203235231e-12,1.5699297102116453e-26,1.1596483864980926e-25
78,1.2182348919203722e-13,1.1613925203235231e-12,1.5699297102116453e-26,1.1596483864980926e-25
79,1.2182348919203722e-13,1.1613925203235231e-12,1.5699297102116453e-26,1.1596483864980926e-25
80,1.2182348919203722e-13,1.1613925203235231e-12,1.5699297102116453e-26,1.1596483864980926e-25
81,1.2182348919203722e-13,1.1613925203235231e-12,1.5699297102116453e-26,1.1596483864980926e-25
82,1.2182348919203722e-13,1.1613925203235231e-12,1.5699297102116453e-26,1.1596483864980926e-25
83,1.2182348919203722e-13,1.1613925203235231e-12,1.5699297102116453e-26,1.1596483864980926e-25
84,1.2182348919203722e-13,1.1613925203235231e-12,1.5699297102116453e-26,1.1596483864980926e-25
85,1.2182348919203722e-13,1.1613925203235231e-12,1.5699297102116453e-26,1.1596483864980926e-25
86,1.2182348919203722e-13,1.1613925203235231e-12,1.5699297102116453e-26,1.1596483864980926e-25
87,0.06802576301493096,0.5916935651278136,0.004297847488114691,0.030316229620394004
88,1.229584733403556e-13,9.122194329004705e-13,1.2335024653028306e-26,7.285832266436328e-26
89,4.0593026351505304e-14,2.4304129312577336e-13,3.9272337987349895e-27,9.23858643234196e-27
90,4.0593026351505304e-14,2.4304129312577336e-13,3.9272337987349895e-27,9.23858643234196e-27
91,4.0593026351505304e-14,2.4304129312577336e-13,3.9272337987349895e-27,9.23858643234196e-27
92,4.0593026351505304e-14,2.4304129312577336e-13,3.9272337987349895e-27,9.23858643234196e-27
93,4.0593026351505304e-14,2.4304129312577336e-13,3.9272337987349895e-27,9.23858643234196e-27
94,4.0593026351505304e-14,2.4304129312577336e-13,3.9272337987349895e-27,9.23858643234196e-27
95,4.0593026351505304e-14,2.4304129312577336e-13,3.9272337987349895e-27,9.23858643234196e-27
96,4.0593026351505304e-14,2.4304129312577336e-13,3.9272337987349895e-27,9.23858643234196e-27
97,4.0593026351505304e-14,2.4304129312577336e-13,3.9272337987349895e-27,9.23858643234196e-27
