#query	mnx_id	reference	xrefs	name
CDPGLYCGPT				
CPC3MT	MNXR153228	biggR:CPC3MT	bigg.reaction:CPC3MT ... bigg.reaction:R_CPC3MT ... biggR:CPC3MT ... biggR:R_CPC3MT ... deprecated:MNXR96833	1 MNXM1102072@MNXD1 + 1 MNXM741457@MNXD1 = 1 MNXM1102167@MNXD1 + 1 MNXM732835@MNXD1
CPC4MT	MNXR153253	biggR:CPC4MT	bigg.reaction:CPC4MT ... bigg.reaction:R_CPC4MT ... biggR:CPC4MT ... biggR:R_CPC4MT ... deprecated:MNXR96864	1 MNXM1102072@MNXD1 + 1 MNXM732835@MNXD1 = 1 MNXM1102167@MNXD1 + 1 MNXM736806@MNXD1
CPC5MT	MNXR153255	biggR:CPC5MT	bigg.reaction:CPC5MT ... bigg.reaction:R_CPC5MT ... biggR:CPC5MT ... biggR:R_CPC5MT ... deprecated:MNXR96865	1 MNXM1102072@MNXD1 + 1 MNXM736806@MNXD1 + 1 WATER@MNXD1 = 1 MNXM1102167@MNXD1 + 1 MNXM736811@MNXD1 + 1 MNXM75@MNXD1
CPC6MT	MNXR153258	biggR:CPC6MT	bigg.reaction:CPC6MT ... bigg.reaction:R_CPC6MT ... biggR:CPC6MT ... biggR:R_CPC6MT ... deprecated:MNXR96866	2 MNXM1102072@MNXD1 + 1 MNXM733199@MNXD1 = 2 MNXM1102167@MNXD1 + 1 MNXM13@MNXD1 + 1 MNXM728587@MNXD1
CPC6R	MNXR153240	biggR:CPC6R	bigg.reaction:CPC6R ... bigg.reaction:R_CPC6R ... biggR:CPC6R ... biggR:R_CPC6R ... deprecated:MNXR96837	1 MNXM5@MNXD1 + 1 MNXM733199@MNXD1 = 1 MNXM736811@MNXD1 + 1 MNXM738702@MNXD1
CPC8MM	MNXR151566	biggR:CPC8MM	bigg.reaction:CPC8MM ... bigg.reaction:R_CPC8MM ... biggR:CPC8MM ... biggR:R_CPC8MM ... deprecated:MNXR134595 ... deprecated:MNXR96840	1 MNXM728587@MNXD1 = 1 MNXM741357@MNXD1
CPPPGO2	MNXR190830	rheaR:15425	bigg.reaction:CPPPGO2 ... bigg.reaction:R_CPPPGO2 ... biggR:CPPPGO2 ... biggR:R_CPPPGO2 ... deprecated:MNXR190831 ... deprecated:MNXR96881 ... kegg.reaction:R06895 ... keggR:R06895 ... metacyc.reaction:HEMN-RXN ... metacycR:HEMN-RXN ... rhea:15425 ... rhea:15426 ... rhea:15427 ... rhea:15428 ... rheaR:15425 ... rheaR:15426 ... rheaR:15427 ... rheaR:15428 ... seed.reaction:rxn04704 ... seed.reaction:rxn32315 ... seed.reaction:rxn32318 ... seedR:rxn04704 ... seedR:rxn32315 ... seedR:rxn32318	2 MNXM1102072@MNXD1 + 1 MNXM735625@MNXD1 = 2 MNXM1103313@MNXD1 + 2 MNXM13@MNXD1 + 1 MNXM351@MNXD1 + 2 MNXM738804@MNXD1
CRO4t3	MNXR153274	biggR:CRO4t3	bigg.reaction:CRO4t3 ... bigg.reaction:CRO4t3pp ... bigg.reaction:R_CRO4t3 ... bigg.reaction:R_CRO4t3pp ... biggR:CRO4t3 ... biggR:CRO4t3pp ... biggR:R_CRO4t3 ... biggR:R_CRO4t3pp ... deprecated:MNXR96913 ... metacyc.reaction:TRANS-RXN-460 ... metacycR:TRANS-RXN-460	1 MNXM01@MNXD1 + 1 MNXM736620@MNXD2 = 1 MNXM01@MNXD2 + 1 MNXM736620@MNXD1
CSNt2	MNXR96929	rheaR:29935	bigg.reaction:CSNt2 ... bigg.reaction:CSNt2pp ... bigg.reaction:R_CSNt2 ... bigg.reaction:R_CSNt2pp ... biggR:CSNt2 ... biggR:CSNt2pp ... biggR:R_CSNt2 ... biggR:R_CSNt2pp ... deprecated:MNXR1308 ... metacyc.reaction:TRANS-RXN-116 ... metacyc.reaction:TRANS-RXN-199 ... metacycR:TRANS-RXN-116 ... metacycR:TRANS-RXN-199 ... rhea:29935 ... rhea:29936 ... rhea:29937 ... rhea:29938 ... rheaR:29935 ... rheaR:29936 ... rheaR:29937 ... rheaR:29938 ... seed.reaction:rxn05527 ... seed.reaction:rxn08266 ... seedR:rxn05527 ... seedR:rxn08266	1 MNXM01@MNXD1 + 1 MNXM761@MNXD1 = 1 MNXM01@MNXD2 + 1 MNXM761@MNXD2
CTPS1	MNXR190281	rheaR:16597	bigg.reaction:CTPS1 ... bigg.reaction:CTPS1_2 ... bigg.reaction:CTPS1n ... bigg.reaction:R_CTPS1 ... bigg.reaction:R_CTPS1_2 ... bigg.reaction:R_CTPS1n ... biggR:CTPS1 ... biggR:CTPS1_2 ... biggR:CTPS1n ... biggR:R_CTPS1 ... biggR:R_CTPS1_2 ... biggR:R_CTPS1n ... deprecated:MNXR155398 ... deprecated:MNXR190282 ... deprecated:MNXR96944 ... kegg.reaction:R00571 ... keggR:R00571 ... metacyc.reaction:RXN-14325 ... metacycR:RXN-14325 ... rhea:16597 ... rhea:16598 ... rhea:16599 ... rhea:16600 ... rheaR:16597 ... rheaR:16598 ... rheaR:16599 ... rheaR:16600 ... sabiork.reaction:458 ... sabiorkR:458 ... seed.reaction:rxn00410 ... seed.reaction:rxn30073 ... seed.reaction:rxn32019 ... seed.reaction:rxn32058 ... seedR:rxn00410 ... seedR:rxn30073 ... seedR:rxn32019 ... seedR:rxn32058	1 MNXM1101474@MNXD1 + 1 MNXM3@MNXD1 + 1 MNXM729302@MNXD1 = 1 MNXM1103718@MNXD1 + 2 MNXM1@MNXD1 + 1 MNXM40333@MNXD1 + 1 MNXM9@MNXD1
