#query	mnx_id	reference	xrefs	name
SHK3Dr	MNXR104378	rheaR:17737	bigg.reaction:R_SHK3Dr ... bigg.reaction:R_SKDH ... bigg.reaction:SHK3Dr ... bigg.reaction:SKDH ... biggR:R_SHK3Dr ... biggR:R_SKDH ... biggR:SHK3Dr ... biggR:SKDH ... deprecated:MNXR55917 ... kegg.reaction:R02413 ... keggR:R02413 ... metacyc.reaction:SHIKIMATE-5-DEHYDROGENASE-RXN ... metacycR:SHIKIMATE-5-DEHYDROGENASE-RXN ... rhea:17737 ... rhea:17738 ... rhea:17739 ... rhea:17740 ... rheaR:17737 ... rheaR:17738 ... rheaR:17739 ... rheaR:17740 ... sabiork.reaction:2351 ... sabiorkR:2351 ... seed.reaction:rxn01740 ... seed.reaction:rxn27110 ... seedR:rxn01740 ... seedR:rxn27110	1 MNXM1@MNXD1 + 1 MNXM611@MNXD1 + 1 MNXM738702@MNXD1 = 1 MNXM5@MNXD1 + 1 MNXM602@MNXD1
SHKK	MNXR104379	rheaR:13121	bigg.reaction:R_SHKK ... bigg.reaction:R_SHKK_1 ... bigg.reaction:R_SKK ... bigg.reaction:SHKK ... bigg.reaction:SHKK_1 ... bigg.reaction:SKK ... biggR:R_SHKK ... biggR:R_SHKK_1 ... biggR:R_SKK ... biggR:SHKK ... biggR:SHKK_1 ... biggR:SKK ... deprecated:MNXR4842 ... kegg.reaction:R02412 ... keggR:R02412 ... metacyc.reaction:SHIKIMATE-KINASE-RXN ... metacycR:SHIKIMATE-KINASE-RXN ... rhea:13121 ... rhea:13122 ... rhea:13123 ... rhea:13124 ... rheaR:13121 ... rheaR:13122 ... rheaR:13123 ... rheaR:13124 ... sabiork.reaction:2350 ... sabiorkR:2350 ... seed.reaction:rxn01739 ... seed.reaction:rxn32794 ... seed.reaction:rxn38708 ... seed.reaction:rxn38709 ... seed.reaction:rxn38710 ... seedR:rxn01739 ... seedR:rxn32794 ... seedR:rxn38708 ... seedR:rxn38709 ... seedR:rxn38710	1 MNXM1265@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM40333@MNXD1 = 1 MNXM3@MNXD1 + 1 MNXM602@MNXD1
SHSL2	MNXR104382	rheaR:27826	bigg.reaction:R_SHSL2 ... bigg.reaction:R_SHSL2h ... bigg.reaction:R_SHSL2r ... bigg.reaction:SHSL2 ... bigg.reaction:SHSL2h ... bigg.reaction:SHSL2r ... biggR:R_SHSL2 ... biggR:R_SHSL2h ... biggR:R_SHSL2r ... biggR:SHSL2 ... biggR:SHSL2h ... biggR:SHSL2r ... deprecated:MNXR138828 ... deprecated:MNXR32404 ... deprecated:MNXR69902 ... kegg.reaction:R01288 ... keggR:R01288 ... metacyc.reaction:RXN-9384 ... metacycR:RXN-9384 ... rhea:27826 ... rhea:27827 ... rhea:27828 ... rhea:27829 ... rheaR:27826 ... rheaR:27827 ... rheaR:27828 ... rheaR:27829 ... seed.reaction:rxn05957 ... seed.reaction:rxn33354 ... seedR:rxn05957 ... seedR:rxn33354	1 MNXM123@MNXD1 + 1 MNXM25@MNXD1 = 1 MNXM124865@MNXD1 + 1 MNXM820@MNXD1
SO4t2	MNXR104466	rheaR:28574	bigg.reaction:R_SO4t2 ... bigg.reaction:R_SO4t2pp ... bigg.reaction:SO4t2 ... bigg.reaction:SO4t2pp ... biggR:R_SO4t2 ... biggR:R_SO4t2pp ... biggR:SO4t2 ... biggR:SO4t2pp ... deprecated:MNXR4870 ... rhea:28574 ... rhea:28575 ... rhea:28576 ... rhea:28577 ... rheaR:28574 ... rheaR:28575 ... rheaR:28576 ... rheaR:28577 ... seed.reaction:rxn05651 ... seed.reaction:rxn13116 ... seedR:rxn05651 ... seedR:rxn13116	1 MNXM01@MNXD1 + 1 MNXM58@MNXD1 = 1 MNXM01@MNXD2 + 1 MNXM58@MNXD2
SPMDabc	MNXR104494	seedR:rxn05175	bigg.reaction:R_SPMDabc ... bigg.reaction:R_SPMDabcpp ... bigg.reaction:SPMDabc ... bigg.reaction:SPMDabcpp ... biggR:R_SPMDabc ... biggR:R_SPMDabcpp ... biggR:SPMDabc ... biggR:SPMDabcpp ... deprecated:MNXR29075 ... metacyc.reaction:ABC-24-RXN ... metacycR:ABC-24-RXN ... seed.reaction:rxn05175 ... seed.reaction:rxn09263 ... seed.reaction:rxn11262 ... seedR:rxn05175 ... seedR:rxn09263 ... seedR:rxn11262	1 MNXM124@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM40333@MNXD1 + 1 MNXM9@MNXD1 = 1 MNXM124@MNXD2 + 1 MNXM3@MNXD1 + 1 WATER@MNXD1
SPMS	MNXR190686	rheaR:12721	bigg.reaction:APAPTm ... bigg.reaction:R_APAPTm ... bigg.reaction:R_SPMS ... bigg.reaction:SPMS ... biggR:APAPTm ... biggR:R_APAPTm ... biggR:R_SPMS ... biggR:SPMS ... deprecated:MNXR190687 ... deprecated:MNXR95860 ... kegg.reaction:R01920 ... keggR:R01920 ... metacyc.reaction:SPERMIDINESYN-RXN ... metacycR:SPERMIDINESYN-RXN ... rhea:12721 ... rhea:12722 ... rhea:12723 ... rhea:12724 ... rheaR:12721 ... rheaR:12722 ... rheaR:12723 ... rheaR:12724 ... sabiork.reaction:1974 ... sabiorkR:1974 ... seed.reaction:rxn01406 ... seed.reaction:rxn28988 ... seedR:rxn01406 ... seedR:rxn28988	1 MNXM1101977@MNXD1 + 1 MNXM124@MNXD1 + 1 MNXM1@MNXD1 = 1 MNXM1103325@MNXD1 + 1 MNXM118@MNXD1
SPTc	MNXR104504	rheaR:22852	bigg.reaction:R_SPTc ... bigg.reaction:R_SPTix ... bigg.reaction:SPTc ... bigg.reaction:SPTix ... biggR:R_SPTc ... biggR:R_SPTix ... biggR:SPTc ... biggR:SPTix ... deprecated:MNXR4896 ... kegg.reaction:R00585 ... keggR:R00585 ... metacyc.reaction:SERINE--PYRUVATE-AMINOTRANSFERASE-RXN ... metacycR:SERINE--PYRUVATE-AMINOTRANSFERASE-RXN ... rhea:22852 ... rhea:22853 ... rhea:22854 ... rhea:22855 ... rheaR:22852 ... rheaR:22853 ... rheaR:22854 ... rheaR:22855 ... sabiork.reaction:985 ... sabiorkR:985 ... seed.reaction:rxn00422 ... seed.reaction:rxn27104 ... seed.reaction:rxn28984 ... seed.reaction:rxn33642 ... seedR:rxn00422 ... seedR:rxn27104 ... seedR:rxn28984 ... seedR:rxn33642	1 MNXM1105732@MNXD1 + 1 MNXM392@MNXD1 = 1 MNXM23@MNXD1 + 1 MNXM737787@MNXD1
SSALxr				
SSALyr				
STCOATA				
SUCCt2r	MNXR104622	seedR:rxn05654	bigg.reaction:R_SUCCt2r ... bigg.reaction:R_SUCCtpp ... bigg.reaction:SUCCt2r ... bigg.reaction:SUCCtpp ... biggR:R_SUCCt2r ... biggR:R_SUCCtpp ... biggR:SUCCt2r ... biggR:SUCCtpp ... deprecated:MNXR4949 ... seed.reaction:rxn05654 ... seedR:rxn05654	1 MNXM01@MNXD1 + 1 MNXM25@MNXD1 = 1 MNXM01@MNXD2 + 1 MNXM25@MNXD2
SUCpts	MNXR146497	seedR:rxn05655	bigg.reaction:R_SUCpts ... bigg.reaction:R_SUCptspp ... bigg.reaction:SUCpts ... bigg.reaction:SUCptspp ... biggR:R_SUCpts ... biggR:R_SUCptspp ... biggR:SUCpts ... biggR:SUCptspp ... deprecated:MNXR104643 ... deprecated:MNXR146498 ... seed.reaction:rxn05655 ... seed.reaction:rxn09274 ... seedR:rxn05655 ... seedR:rxn09274	1 MNXM1104180@MNXD1 + 1 MNXM73@MNXD2 = 1 MNXM23@MNXD2 + 1 MNXM725918@MNXD2
SUDPDGT				
SUDPMGT				
SULFACabc				
TALA	MNXR146501	biggR:TALA	bigg.reaction:R_TALA ... bigg.reaction:R_TALA_h ... bigg.reaction:TALA ... bigg.reaction:TALA_h ... biggR:R_TALA ... biggR:R_TALA_h ... biggR:TALA ... biggR:TALA_h ... deprecated:MNXR104715	1 MNXM1107898@MNXD1 + 2 MNXM1@MNXD1 + 1 MNXM258@MNXD1 = 1 MNXM733314@MNXD1 + 1 MNXM739945@MNXD1
TARTD	MNXR104718	rheaR:15413	bigg.reaction:R_TARTD ... bigg.reaction:TARTD ... biggR:R_TARTD ... biggR:TARTD ... deprecated:MNXR4981 ... deprecated:MNXR79465 ... kegg.reaction:R00339 ... keggR:R00339 ... metacyc.reaction:LTARTDEHYDRA-RXN ... metacycR:LTARTDEHYDRA-RXN ... rhea:15413 ... rhea:15414 ... rhea:15415 ... rhea:15416 ... rheaR:15413 ... rheaR:15414 ... rheaR:15415 ... rheaR:15416 ... seed.reaction:rxn00245 ... seedR:rxn00245	1 MNXM46@MNXD1 + 1 WATER@MNXD1 = 1 MNXM737997@MNXD1
