#query	mnx_id	reference	xrefs	name
L_LACt2r	MNXR101277	rheaR:29415	bigg.reaction:L_LACt2r ... bigg.reaction:L_LACt2rpp ... bigg.reaction:L_LACtm ... bigg.reaction:R_L_LACt2r ... bigg.reaction:R_L_LACt2rpp ... bigg.reaction:R_L_LACtm ... bigg.reaction:R_r2516 ... bigg.reaction:r2516 ... biggR:L_LACt2r ... biggR:L_LACt2rpp ... biggR:L_LACtm ... biggR:R_L_LACt2r ... biggR:R_L_LACt2rpp ... biggR:R_L_LACtm ... biggR:R_r2516 ... biggR:r2516 ... metacyc.reaction:TRANS-RXN-104 ... metacycR:TRANS-RXN-104 ... rhea:29415 ... rhea:29416 ... rhea:29417 ... rhea:29418 ... rheaR:29415 ... rheaR:29416 ... rheaR:29417 ... rheaR:29418 ... seed.reaction:rxn05602 ... seed.reaction:rxn08794 ... seed.reaction:rxn13334 ... seedR:rxn05602 ... seedR:rxn08794 ... seedR:rxn13334	1 MNXM01@MNXD1 + 1 MNXM731835@MNXD1 = 1 MNXM01@MNXD2 + 1 MNXM731835@MNXD2
M1PD	MNXR191290	rheaR:19661	bigg.reaction:M1PD ... bigg.reaction:R_M1PD ... biggR:M1PD ... biggR:R_M1PD ... deprecated:MNXR110835 ... deprecated:MNXR145487 ... deprecated:MNXR145488 ... deprecated:MNXR146388 ... kegg.reaction:R00758 ... kegg.reaction:R02703 ... keggR:R00758 ... keggR:R02703 ... metacyc.reaction:MANNPDEHYDROG-RXN ... metacycR:MANNPDEHYDROG-RXN ... rhea:19661 ... rhea:19662 ... rhea:19663 ... rhea:19664 ... rheaR:19661 ... rheaR:19662 ... rheaR:19663 ... rheaR:19664 ... seed.reaction:rxn00546 ... seed.reaction:rxn03886 ... seed.reaction:rxn13933 ... seed.reaction:rxn13943 ... seed.reaction:rxn15354 ... seed.reaction:rxn15656 ... seed.reaction:rxn20181 ... seedR:rxn00546 ... seedR:rxn03886 ... seedR:rxn13933 ... seedR:rxn13943 ... seedR:rxn15354 ... seedR:rxn15656 ... seedR:rxn20181	1 MNXM10@MNXD1 + 1 MNXM1107898@MNXD1 + 1 MNXM1@MNXD1 = 1 MNXM8@MNXD1 + 1 MNXM90126@MNXD1
MACCOAT	MNXR190496	rheaR:30719	bigg.reaction:ACACT10m ... bigg.reaction:MACCOAT ... bigg.reaction:R_ACACT10m ... bigg.reaction:R_MACCOAT ... biggR:ACACT10m ... biggR:MACCOAT ... biggR:R_ACACT10m ... biggR:R_MACCOAT ... deprecated:MNXR190497 ... deprecated:MNXR95195 ... kegg.reaction:R00927 ... keggR:R00927 ... metacyc.reaction:METHYLACETOACETYLCOATHIOL-RXN ... metacycR:METHYLACETOACETYLCOATHIOL-RXN ... rhea:30719 ... rhea:30720 ... rhea:30721 ... rhea:30722 ... rheaR:30719 ... rheaR:30720 ... rheaR:30721 ... rheaR:30722 ... sabiork.reaction:1247 ... sabiorkR:1247 ... seed.reaction:rxn00676 ... seed.reaction:rxn20197 ... seed.reaction:rxn33120 ... seedR:rxn00676 ... seedR:rxn20197 ... seedR:rxn33120	1 MNXM1104266@MNXD1 + 1 MNXM1106156@MNXD1 = 1 MNXM1104585@MNXD1 + 1 MNXM727276@MNXD1
MADGBG				
MALT	MNXR184967	keggR:R00028	bigg.reaction:MALT ... bigg.reaction:MALTe ... bigg.reaction:MALTly ... bigg.reaction:R_MALT ... bigg.reaction:R_MALTe ... bigg.reaction:R_MALTly ... biggR:MALT ... biggR:MALTe ... biggR:MALTly ... biggR:R_MALT ... biggR:R_MALTe ... biggR:R_MALTly ... deprecated:MNXR188339 ... deprecated:MNXR188340 ... kegg.reaction:R00028 ... keggR:R00028 ... metacyc.reaction:RXN-15910 ... metacycR:RXN-15910 ... seed.reaction:rxn00022 ... seed.reaction:rxn30130 ... seed.reaction:rxn43105 ... seedR:rxn00022 ... seedR:rxn30130 ... seedR:rxn43105	1 MNXM1106000@MNXD1 + 1 WATER@MNXD1 = 2 MNXM1137670@MNXD1
MALT6PH				
MALTATr	MNXR189706	rheaR:10456	bigg.reaction:MALTATr ... bigg.reaction:R_MALTATr ... biggR:MALTATr ... biggR:R_MALTATr ... deprecated:MNXR145504 ... deprecated:MNXR189707 ... rhea:10456 ... rhea:10457 ... rhea:10458 ... rhea:10459 ... rheaR:10456 ... rheaR:10457 ... rheaR:10458 ... rheaR:10459	1 MNXM1104266@MNXD1 + 1 MNXM1106000@MNXD1 = 1 MNXM727276@MNXD1 + 1 MNXM730607@MNXD1
MALTabc	MNXR174892	seedR:rxn05170	bigg.reaction:MALTabc ... bigg.reaction:MALTabcpp ... bigg.reaction:R_MALTabc ... bigg.reaction:R_MALTabcpp ... biggR:MALTabc ... biggR:MALTabcpp ... biggR:R_MALTabc ... biggR:R_MALTabcpp ... deprecated:MNXR188357 ... deprecated:MNXR188358 ... metacyc.reaction:ABC-16-RXN ... metacycR:ABC-16-RXN ... seed.reaction:rxn05170 ... seed.reaction:rxn08867 ... seed.reaction:rxn18573 ... seed.reaction:rxn27628 ... seedR:rxn05170 ... seedR:rxn08867 ... seedR:rxn18573 ... seedR:rxn27628	1 MNXM1106000@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM40333@MNXD1 + 1 MNXM9@MNXD1 = 1 MNXM1106000@MNXD2 + 1 MNXM3@MNXD1 + 1 WATER@MNXD1
MALTpts	MNXR188359	seedR:rxn05607	bigg.reaction:MALTpts ... bigg.reaction:MALTptspp ... bigg.reaction:R_MALTpts ... bigg.reaction:R_MALTptspp ... biggR:MALTpts ... biggR:MALTptspp ... biggR:R_MALTpts ... biggR:R_MALTptspp ... deprecated:MNXR101363 ... deprecated:MNXR188360 ... seed.reaction:rxn05607 ... seed.reaction:rxn08872 ... seedR:rxn05607 ... seedR:rxn08872	1 MNXM1104316@MNXD1 + 1 MNXM23@MNXD1 = 1 MNXM1106000@MNXD2 + 1 MNXM73@MNXD1
MAN1PT2	MNXR145513	rheaR:12905	bigg.reaction:MAN1PT2 ... bigg.reaction:R_MAN1PT2 ... biggR:MAN1PT2 ... biggR:R_MAN1PT2 ... deprecated:MNXR101376 ... deprecated:MNXR145514 ... deprecated:MNXR145515 ... kegg.reaction:R00883 ... keggR:R00883 ... metacyc.reaction:MANNPGUANYLTRANGDP-RXN ... metacycR:MANNPGUANYLTRANGDP-RXN ... rhea:12905 ... rhea:12906 ... rhea:12907 ... rhea:12908 ... rheaR:12905 ... rheaR:12906 ... rheaR:12907 ... rheaR:12908 ... sabiork.reaction:9123 ... sabiorkR:9123 ... seed.reaction:rxn00640 ... seedR:rxn00640	1 MNXM1103285@MNXD1 + 1 MNXM1106057@MNXD1 + 1 MNXM1@MNXD1 = 1 MNXM1104188@MNXD1 + 1 MNXM9@MNXD1
